530, {'net_id': 'net_evo16_crossover87', 'acc1': 79.75, 'acc5': 94.52800002929688, 'flops': 532.695552, 'resolution': 256, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1792], 'kernel_size': [5, 3, 3, 5, 3, 3, 3], 'expand_ratio': [1, 4, 4, 4, 5, 6, 6], 'depth': [1, 3, 3, 3, 4, 6, 1]}

540, {'net_id': 'net_evo17_crossover79', 'acc1': 79.79599999999999, 'acc5': 94.64200000976562, 'flops': 541.69344, 'resolution': 256, 'width': [16, 16, 24, 32, 72, 112, 192, 216, 1792], 'kernel_size': [3, 3, 5, 5, 5, 3, 3], 'expand_ratio': [1, 4, 4, 4, 4, 6, 6], 'depth': [2, 3, 4, 3, 5, 6, 1]}

550, {'net_id': 'net_evo16_crossover5', 'acc1': 79.864, 'acc5': 94.60400001953126, 'flops': 550.888832, 'resolution': 256, 'width': [16, 16, 24, 40, 72, 112, 208, 216, 1792], 'kernel_size': [3, 3, 3, 5, 3, 3, 3], 'expand_ratio': [1, 4, 4, 4, 5, 6, 6], 'depth': [1, 3, 3, 3, 4, 6, 1]}

560, {'net_id': 'net_evo5_crossover84', 'acc1': 79.87, 'acc5': 94.62200000976563, 'flops': 562.119424, 'resolution': 256, 'width': [16, 16, 24, 32, 72, 120, 192, 216, 1792], 'kernel_size': [3, 3, 5, 5, 5, 3, 3], 'expand_ratio': [1, 4, 4, 4, 4, 6, 6], 'depth': [2, 3, 4, 3, 5, 6, 1]}

570, {'net_id': 'net_evo9_crossover31', 'acc1': 79.92, 'acc5': 94.63000002929688, 'flops': 565.314048, 'resolution': 256, 'width': [16, 16, 24, 32, 72, 112, 208, 216, 1792], 'kernel_size': [3, 3, 3, 5, 3, 3, 3], 'expand_ratio': [1, 5, 5, 4, 4, 6, 6], 'depth': [1, 3, 3, 3, 5, 6, 1]}

580, {'net_id': 'net_evo13_crossover29', 'acc1': 79.952, 'acc5': 94.60600000976562, 'flops': 580.463872, 'resolution': 256, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1792], 'kernel_size': [5, 3, 3, 5, 3, 3, 3], 'expand_ratio': [1, 4, 4, 5, 4, 6, 6], 'depth': [1, 3, 3, 3, 5, 6, 2]}

590, {'net_id': 'net_evo17_crossover113', 'acc1': 79.996, 'acc5': 94.66000004882812, 'flops': 591.39072, 'resolution': 256, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1792], 'kernel_size': [3, 3, 3, 5, 3, 3, 3], 'expand_ratio': [1, 5, 5, 5, 4, 6, 6], 'depth': [1, 3, 3, 3, 6, 6, 1]}

600, {'net_id': 'net_evo5_crossover42', 'acc1': 80.03399999999999, 'acc5': 94.68000001953125, 'flops': 604.691968, 'resolution': 256, 'width': [16, 16, 24, 40, 64, 112, 200, 216, 1984], 'kernel_size': [3, 3, 3, 5, 3, 3, 3], 'expand_ratio': [1, 4, 4, 5, 4, 6, 6], 'depth': [2, 3, 4, 4, 5, 7, 1]}

610, {'net_id': 'net_evo18_crossover60', 'acc1': 80.0140000390625, 'acc5': 94.6880000390625, 'flops': 610.564608, 'resolution': 256, 'width': [16, 16, 24, 32, 72, 112, 208, 216, 1792], 'kernel_size': [3, 3, 3, 5, 5, 3, 3], 'expand_ratio': [1, 5, 5, 5, 4, 6, 6], 'depth': [1, 3, 3, 3, 6, 6, 1]}

620, {'net_id': 'net_evo17_crossover119', 'acc1': 80.054, 'acc5': 94.81800002929687, 'flops': 623.052368, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 112, 200, 216, 1792], 'kernel_size': [3, 3, 3, 5, 3, 3, 3], 'expand_ratio': [1, 4, 4, 4, 4, 6, 6], 'depth': [1, 3, 4, 3, 5, 5, 1]}

630, {'net_id': 'net_evo15_crossover75', 'acc1': 80.1500000390625, 'acc5': 94.82400002929687, 'flops': 632.889248, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 112, 192, 216, 1792], 'kernel_size': [5, 3, 5, 3, 3, 3, 3], 'expand_ratio': [1, 4, 4, 4, 4, 6, 6], 'depth': [2, 3, 4, 3, 5, 5, 1]}

640, {'net_id': 'net_evo14_crossover127', 'acc1': 80.212, 'acc5': 94.81200001953125, 'flops': 644.174976, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1792], 'kernel_size': [5, 3, 5, 3, 3, 3, 3], 'expand_ratio': [1, 4, 4, 5, 4, 6, 6], 'depth': [1, 3, 3, 3, 5, 5, 1]}

650, {'net_id': 'net_evo17_crossover43', 'acc1': 80.314, 'acc5': 94.80600001953125, 'flops': 648.322176, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1792], 'kernel_size': [5, 3, 5, 5, 3, 3, 3], 'expand_ratio': [1, 4, 4, 5, 4, 6, 6], 'depth': [1, 3, 3, 3, 5, 5, 1]}

660, {'net_id': 'net_evo12_crossover16', 'acc1': 80.21000003906249, 'acc5': 94.822, 'flops': 660.511952, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 112, 200, 216, 1792], 'kernel_size': [5, 3, 5, 5, 3, 3, 3], 'expand_ratio': [1, 4, 4, 5, 4, 6, 6], 'depth': [2, 3, 4, 3, 5, 5, 1]}

670, {'net_id': 'net_evo13_crossover2', 'acc1': 80.2960000390625, 'acc5': 94.80600001953125, 'flops': 670.520064, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1792], 'kernel_size': [5, 3, 5, 5, 3, 3, 3], 'expand_ratio': [1, 4, 4, 6, 4, 6, 6], 'depth': [2, 3, 3, 3, 5, 5, 1]}

680, {'net_id': 'net_evo18_crossover97', 'acc1': 80.33200001953125, 'acc5': 94.81000001953124, 'flops': 684.764256, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1792], 'kernel_size': [5, 3, 3, 5, 3, 3, 3], 'expand_ratio': [1, 4, 4, 5, 4, 6, 6], 'depth': [1, 3, 3, 3, 5, 6, 1]}

690, {'net_id': 'net_evo7_crossover84', 'acc1': 80.406, 'acc5': 94.85200001953125, 'flops': 691.8456, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1792], 'kernel_size': [3, 3, 3, 5, 3, 3, 3], 'expand_ratio': [1, 4, 4, 4, 4, 6, 6], 'depth': [2, 3, 3, 4, 5, 6, 1]}

700, {'net_id': 'net_evo9_crossover102', 'acc1': 80.41400001953124, 'acc5': 94.81400001953125, 'flops': 704.337888, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1984], 'kernel_size': [3, 3, 3, 3, 3, 3, 3], 'expand_ratio': [1, 4, 4, 4, 4, 6, 6], 'depth': [1, 3, 6, 3, 5, 6, 1]}

710, {'net_id': 'net_evo10_crossover108', 'acc1': 80.462, 'acc5': 94.90800002929687, 'flops': 708.780896, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1792], 'kernel_size': [3, 3, 5, 5, 3, 3, 3], 'expand_ratio': [1, 4, 5, 4, 4, 6, 6], 'depth': [1, 3, 4, 3, 5, 6, 1]}

720, {'net_id': 'net_evo9_crossover33', 'acc1': 80.458, 'acc5': 94.78800004882812, 'flops': 722.082352, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1792], 'kernel_size': [3, 3, 3, 5, 3, 3, 3], 'expand_ratio': [1, 4, 4, 5, 5, 6, 6], 'depth': [1, 3, 3, 3, 4, 6, 2]}

730, {'net_id': 'net_evo15_crossover76', 'acc1': 80.462, 'acc5': 94.96400002929687, 'flops': 732.927968, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1792], 'kernel_size': [3, 3, 5, 5, 3, 3, 3], 'expand_ratio': [1, 4, 6, 4, 4, 6, 6], 'depth': [2, 3, 4, 3, 5, 6, 1]}

740, {'net_id': 'net_evo16_crossover74', 'acc1': 80.532, 'acc5': 94.84600001953125, 'flops': 740.107488, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1984], 'kernel_size': [3, 3, 5, 5, 3, 3, 3], 'expand_ratio': [1, 4, 4, 6, 4, 6, 6], 'depth': [1, 3, 6, 3, 5, 6, 1]}

750, {'net_id': 'net_evo15_crossover66', 'acc1': 80.57800001953125, 'acc5': 94.93800004882813, 'flops': 751.361136, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1792], 'kernel_size': [5, 3, 5, 5, 3, 3, 3], 'expand_ratio': [1, 4, 5, 5, 4, 6, 6], 'depth': [1, 3, 3, 3, 5, 6, 2]}

760, {'net_id': 'net_evo12_crossover107', 'acc1': 80.63000003906251, 'acc5': 94.95000004882813, 'flops': 761.233904, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1792], 'kernel_size': [5, 3, 5, 5, 3, 3, 3], 'expand_ratio': [1, 4, 5, 4, 4, 6, 6], 'depth': [1, 3, 4, 3, 5, 6, 2]}

